Date,Customer_ID,Product,Category,Quantity,Price,Sales,Gender,Age,Year,Month_Name,Region,Age_Group,Customer_Type,Payment_Method,Sales_Channel,Cost_Price,Profit
01-01-2023,1051,Mobile,Electronics,3,38828,116484,Male,24,2023,January,East,18-25,Returning,Debit Card,Online,23723.96,45312.12
01-01-2023,1092,Bag,Accessories,3,16392,49176,Male,60,2023,January,West,46-60,Returning,Debit Card,Online,12012.18,13139.45
02-01-2023,1014,Laptop,Electronics,3,47799,143397,Male,41,2023,January,West,36-45,New,UPI,Offline,29047.03,56255.9
03-01-2023,1071,Shoes,Fashion,1,17573,17573,Female,21,2023,January,Central,18-25,New,Credit Card,Offline,11407.98,6165.02
03-01-2023,1060,Headphones,Electronics,4,37268,149072,Male,45,2023,January,South,36-45,New,Cash,Offline,28897.74,33481.03
04-01-2023,1020,Mobile,Electronics,4,31182,124728,Female,32,2023,January,West,26-35,Returning,Cash,Offline,20368.83,43252.67
05-01-2023,1082,Laptop,Electronics,5,32762,163810,Female,18,2023,January,Central,18-25,New,UPI,Online,20231.45,62652.74
06-01-2023,1086,Clothes,Fashion,5,31858,159290,Male,20,2023,January,South,18-25,Returning,Credit Card,Offline,24801.88,35280.58
06-01-2023,1074,Watch,Accessories,5,14789,73945,Female,31,2023,January,East,26-35,Returning,Cash,Online,8878.85,29550.76
07-01-2023,1074,Shoes,Fashion,3,8427,25281,Female,55,2023,January,East,46-60,Returning,Debit Card,Online,6230.61,6589.17
08-01-2023,1087,Mobile,Electronics,4,48830,195320,Male,18,2023,January,North,18-25,Returning,Cash,Offline,36006.16,51295.38
09-01-2023,1099,Mobile,Electronics,3,1671,5013,Female,55,2023,January,Central,46-60,New,UPI,Offline,1248.81,1266.56
09-01-2023,1023,Headphones,Electronics,1,12418,12418,Female,55,2023,January,South,46-60,New,Cash,Online,9329.43,3088.57
10-01-2023,1002,Headphones,Electronics,5,42403,212015,Female,38,2023,January,West,36-45,New,Debit Card,Online,30160.95,61210.27
11-01-2023,1021,Clothes,Fashion,3,39610,118830,Female,46,2023,January,East,46-60,Returning,Credit Card,Offline,26032.83,40731.5
11-01-2023,1052,Watch,Accessories,3,12429,37287,Male,22,2023,January,South,18-25,Returning,Debit Card,Online,9033.34,10186.98
12-01-2023,1001,Clothes,Fashion,1,3039,3039,Female,27,2023,January,Central,26-35,New,Credit Card,Online,2361.74,677.26
13-01-2023,1087,Laptop,Electronics,2,37227,74454,Female,45,2023,January,North,36-45,Returning,Credit Card,Offline,23749.13,26955.75
14-01-2023,1029,Laptop,Electronics,4,46451,185804,Female,38,2023,January,East,36-45,Returning,Cash,Offline,30438.1,64051.62
14-01-2023,1037,Clothes,Fashion,2,23169,46338,Female,24,2023,January,South,18-25,Returning,UPI,Online,17409.57,11518.86
15-01-2023,1001,Watch,Accessories,5,5932,29660,Male,20,2023,January,South,18-25,New,Debit Card,Online,4640.2,6459.01
16-01-2023,1063,Clothes,Fashion,3,21144,63432,Female,62,2023,January,South,60+,Returning,UPI,Offline,13330.12,23441.65
17-01-2023,1059,Watch,Accessories,1,19245,19245,Male,64,2023,January,Central,60+,New,Debit Card,Online,14239.75,5005.25
17-01-2023,1020,Watch,Accessories,1,28728,28728,Female,37,2023,January,Central,36-45,Returning,Credit Card,Offline,19100.95,9627.05
18-01-2023,1032,Bag,Accessories,4,35021,140084,Male,36,2023,January,Central,36-45,Returning,Cash,Offline,25399.56,38485.75
19-01-2023,1075,Shoes,Fashion,2,32203,64406,Male,52,2023,January,West,46-60,Returning,UPI,Offline,23926.85,16552.31
19-01-2023,1057,Watch,Accessories,4,27428,109712,Male,21,2023,January,South,18-25,New,Cash,Online,19214.17,32855.31
20-01-2023,1021,Headphones,Electronics,3,18822,56466,Male,22,2023,January,East,18-25,New,Cash,Online,14541.38,12841.87
